,level_0,Unnamed: 0,index,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
267,267,267,271,Varo Bank,3000000000.0,09-09-2021,Fintech,San Francisco,United States,North America,2015,987000000,"Warburg Pincus, The Rise Fund, HarbourVest Partners"
268,268,268,272,Vercel,3000000000.0,23-06-2021,Internet software & services,San Francisco,United States,North America,2015,313000000,"CRV, Accel, Google Ventures"
269,269,269,273,Oura,3000000000.0,05-04-2022,Health,Oulu,Finland,Europe,2013,148000000,"Forerunner Ventures, Lifeline Ventures, MSD Capital"
270,270,270,274,Unacademy,3000000000.0,02-09-2020,Edtech,Bengaluru,India,Asia,2015,789000000,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
271,271,271,275,Axonius,3000000000.0,01-03-2021,Cybersecurity,New York,United States,North America,2017,395000000,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
272,272,272,276,Clari,3000000000.0,03-03-2021,Internet software & services,Sunnyvale,United States,North America,2012,496000000,"Sequoia Capital, Bain Capital Ventures, enaya Capital"
273,273,273,277,ManoMano,3000000000.0,05-07-2021,E-commerce & direct-to-consumer,Paris,France,Europe,2013,706000000,"General Atlantic, Piton Capital, Partech Partners"
274,274,274,278,Pendo,3000000000.0,17-10-2019,Internet software & services,Raleigh,United States,North America,2013,357000000,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
275,275,275,279,Plume,3000000000.0,23-02-2021,Internet software & services,Palo Alto,United States,North America,2015,722000000,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
276,276,276,280,JumpCloud,3000000000.0,13-09-2021,Data management & analytics,Louisville,United States,North America,2012,407000000,"Foundry Group, General Atlantic, BlackRock"
277,277,277,281,Project44,3000000000.0,01-06-2021,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,818000000,"Emergence Capital Partners, 8VC, Chicago Ventures"
278,278,278,282,Sourcegraph,3000000000.0,13-07-2021,Internet software & services,San Francisco,United States,North America,2013,248000000,"Redpoint Ventures, Goldcrest Capital, Insight Partners"
279,279,279,283,OwnBackup,3000000000.0,28-01-2021,Data management & analytics,Englewood Cliffs,United States,North America,2015,507000000,"Insight Partners, Salesforce Ventures, Vertex Ventures"
280,280,280,284,Starburst,3000000000.0,06-01-2021,Data management & analytics,Boston,United States,North America,1999,414000000,"Index Ventures, Coatue Management, Andreessen Horowitz"
281,281,281,285,Youxia Motors,3000000000.0,02-04-2018,Auto & transportation,Shanghai,China,Asia,2014,1000000000,"China Environmental Protection Industry, China Fortune Ocean"
282,282,282,286,Zetwerk,3000000000.0,20-08-2021,Internet software & services,Bengaluru,India,Asia,2018,543000000,"Sequoia Capital India, Kae Capital, Accel"
283,283,283,287,Cars24,3000000000.0,24-11-2020,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1000000000,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
284,284,284,288,Ethos,3000000000.0,11-05-2021,Fintech,San Francisco,United States,North America,2016,407000000,"Sequoia Capital, Google Ventures, Accel"
285,285,285,289,Komodo Health,3000000000.0,22-05-2020,Health,San Francisco,United States,North America,2014,314000000,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
286,286,286,290,Nextiva,3000000000.0,14-09-2021,Internet software & services,Scottsdale,United States,North America,2008,200000000,Goldman Sachs Asset Management
287,287,287,291,o9 Solutions,3000000000.0,28-04-2020,Artificial intelligence,Dallas,United States,North America,2009,417000000,KKR
288,288,288,292,Scopely,3000000000.0,29-10-2019,Mobile & telecommunications,Culver City,United States,North America,2011,999000000,"Greycroft, Sands Capital, Revolution Growth"
289,289,289,293,Sila Nanotechnologies,3000000000.0,16-04-2019,Other,Alameda,United States,North America,2011,880000000,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
290,290,290,294,Via,3000000000.0,30-03-2020,Auto & transportation,New York,United States,North America,2012,777000000,"83North, RiverPark Ventures, Pitango Venture Capital"
291,291,291,295,Transmit Security,3000000000.0,22-06-2021,Cybersecurity,Tel Aviv,Israel,Asia,2014,583000000,"General Atlantic, Insight Partners, Vintage Investment Partners"
292,292,292,296,BlockDaemon,3000000000.0,21-09-2021,Fintech,Los Angeles,United States,North America,2016,398000000,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
293,293,293,297,Convoy,3000000000.0,21-09-2018,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,666000000,"Greylock Partners, capitalG, Y Combinator"
294,294,294,298,Dream Games,3000000000.0,30-06-2021,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,468000000,"Makers Fund, Index Ventures, Inova Ventures Participacees"
295,295,295,299,Illumio,3000000000.0,14-04-2015,Cybersecurity,Sunnyvale,United States,North America,2013,558000000,"Data Collective, Formation 8, General Catalyst Partners"
296,296,296,300,MasterClass,3000000000.0,13-05-2021,Edtech,San Francisco,United States,North America,2015,461000000,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
297,297,297,301,Graphcore,3000000000.0,18-12-2018,Artificial intelligence,Bristol,United Kingdom,Europe,2016,682000000,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
298,298,298,302,ApplyBoard,3000000000.0,05-05-2020,Edtech,Kitchener,Canada,North America,2015,483000000,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
299,299,299,303,Blockstream,3000000000.0,24-08-2021,Fintech,Vancouver,Canada,North America,2014,299000000,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
300,300,300,304,Cedar,3000000000.0,09-03-2021,Fintech,New York,United States,North America,2016,326000000,"Thrive Capital, Founders Fund, Cocnord Health Partners"
301,301,301,305,ContentSquare,3000000000.0,25-05-2021,Internet software & services,Paris,France,Europe,2012,812000000,"Highland Europe, Eurazeo, Canaan Partners"
302,302,302,306,Eruditus Executive Education,3000000000.0,12-08-2021,Edtech,Mumbai,India,Asia,2010,591000000,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
303,303,303,307,Innovaccer,3000000000.0,19-02-2021,Health,San Francisco,United States,North America,2014,379000000,"M12, WestBridge Capital, Lightspeed Venture Partners"
304,304,304,308,Ironclad,3000000000.0,18-01-2022,Internet software & services,Sacramento,United States,North America,2014,334000000,"Accel, Sequoia Capital, Y Combinator"
305,305,305,309,Skims,3000000000.0,09-04-2021,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,399000000,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
306,306,306,310,Thumbtack,3000000000.0,29-09-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,698000000,"Tiger Global, Sequoia Capital, Google Capital"
307,307,307,311,Zipline,3000000000.0,20-05-2019,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,483000000,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
308,308,308,312,BharatPe,3000000000.0,30-07-2021,Fintech,New Delhi,India,Asia,2018,600000000,"Insight Partners, Sequoia Capital India, BEENEXT"
309,309,309,313,DriveWealth,3000000000.0,20-08-2021,Fintech,Chatham,United States,North America,2012,551000000,"Point72 Ventures, Route 66 Ventures, Accel"
310,310,310,314,Flink Food,3000000000.0,01-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,1000000000,"Mubadala Capital, Bond, Prosus Ventures"
311,311,311,315,PsiQuantum,3000000000.0,27-07-2021,Hardware,Palo Alto,United States,North America,2016,665000000,"Playground Global, M12, BlackRock"
312,312,312,316,SpotOn,3000000000.0,26-05-2021,Fintech,San Francisco,United States,North America,2017,628000000,"Dragoneer Investment Group, DST Global, Franklin Templeton"
313,313,313,317,Gorillas,3000000000.0,25-03-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,1000000000,"Coatue Management, Atlantic Food Labs, DST Global"
314,314,314,318,HighRadius,3000000000.0,07-01-2020,Fintech,Houston,United States,North America,2006,475000000,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
315,315,315,319,Loft,3000000000.0,03-01-2020,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,788000000,"Monashees+, Andreessen Horowitz, QED Investors"
316,316,316,320,Nuvemshop,3000000000.0,17-08-2021,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,628000000,"Kaszek Ventures, Qualcomm Ventures, Accel"
317,317,317,321,Udaan,3000000000.0,04-09-2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,1000000000,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
318,318,318,322,Workrise,3000000000.0,30-09-2019,Internet software & services,Austin,United States,North America,2014,722000000,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
319,319,319,323,ActiveCampaign,3000000000.0,21-04-2021,Internet software & services,Chicago,United States,North America,2003,360000000,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
320,320,320,324,Age of Learning,3000000000.0,03-05-2016,Edtech,Glendale,United States,North America,2007,500000000,Iconiq Capital
321,321,321,326,Anchorage Digital,3000000000.0,15-12-2021,Fintech,San Francisco,United States,North America,2017,487000000,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
322,322,322,327,BlockFi,3000000000.0,11-03-2021,Fintech,Jersey City,United States,North America,2017,1000000000,"ConsenSys Ventures, Valar Ventures, PUC"
323,323,323,328,Calendly,3000000000.0,26-01-2021,Internet software & services,Atlanta,United States,North America,2013,351000000,"ICONIQ Capital, OpenView Venture Partners"
324,324,324,329,Carbon Health,3000000000.0,21-07-2021,Health,San Francisco,United States,North America,2015,523000000,"Brookfield Asset Management, Blackstone, Data Collective"
325,325,325,330,Circle,3000000000.0,15-05-2018,Fintech,Boston,United States,North America,2013,711000000,"General Catalyst, Digital Currency Group, Accel"
326,326,326,331,CMR Surgical,3000000000.0,17-09-2019,Health,Cambridge,United Kingdom,Europe,2014,975000000,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
327,327,327,332,Contentful,3000000000.0,28-07-2021,Internet software & services,Berlin,Germany,Europe,2013,333000000,"Balderton Capital, General Catalyst, Tiger Global Management"
328,328,328,333,Cross River Bank,3000000000.0,11-02-2022,Fintech,Fort Lee,United States,North America,2008,775000000,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
329,329,329,334,Delhivery,3000000000.0,27-02-2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,1000000000,"Times Internet, Nexus Venture Partners, SoftBank Group"
330,330,330,335,FlixBus,3000000000.0,18-07-2019,Auto & transportation,Munich,Germany,Europe,2013,1000000000,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic"
331,331,331,336,Flutterwave,3000000000.0,09-03-2021,Fintech,San Francisco,United States,North America,2016,474000000,"Green Visor Capital, CRE Venture Capital, Greycroft"
332,332,332,337,Forter,3000000000.0,19-11-2020,Cybersecurity,New York,United States,North America,2013,525000000,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
333,333,333,338,Grafana Labs,3000000000.0,25-03-2021,Internet software & services,New York,United States,North America,2014,535000000,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
334,334,334,339,Groww,3000000000.0,07-04-2021,Fintech,Bengaluru,India,Asia,2017,393000000,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
335,335,335,340,Inxeption,3000000000.0,13-01-2022,Fintech,San Francisco,United States,North America,2017,187000000,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
336,336,336,341,KK Group,3000000000.0,23-10-2019,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,612000000,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
337,337,337,342,Lattice,3000000000.0,23-03-2021,Internet software & services,San Francisco,United States,North America,2015,329000000,"Khosla Ventures, Thrive Capital, Y Combinator"
338,338,338,343,LaunchDarkly,3000000000.0,10-08-2021,Internet software & services,Oakland,United States,North America,2014,330000000,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
339,339,339,344,Lucid,3000000000.0,29-06-2021,Internet software & services,South Jordan,United States,North America,2010,170000000,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital"
340,340,340,345,Outschool,3000000000.0,14-04-2021,Edtech,San Francisco,United States,North America,2015,240000000,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
341,341,341,346,Podium,3000000000.0,07-04-2020,Internet software & services,Lehi,United States,North America,2014,419000000,"Accel, Summit Partners, Google Ventures"
342,342,342,347,Remote,3000000000.0,13-07-2021,Fintech,San Francisco,United States,North America,2016,496000000,"Index Ventures, Sequoia Capital, General Catalyst"
343,343,343,348,Seismic,3000000000.0,18-12-2018,Internet software & services,San Diego,United States,North America,2010,427000000,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
344,344,344,349,Sky Mavis,3000000000.0,04-10-2021,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,311000000,"Fabric Ventures, 500 Global, Standard Crypto"
345,345,345,350,SouChe Holdings,3000000000.0,01-11-2017,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,1000000000,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
346,346,346,351,TradingView,3000000000.0,14-10-2021,Fintech,Westerville,United States,North America,2011,339000000,"Tiger Global Management, Insight Partners, Jump Capital"
347,347,347,352,Traveloka,3000000000.0,01-01-2017,Travel,Jakarta,Indonesia,Asia,2012,1000000000,"Global Founders Capital, East Ventures, Expedia Inc."
348,348,348,353,wefox,3000000000.0,05-03-2019,Fintech,Berlin,Germany,Europe,2014,919000000,"Salesforce Ventures, Seedcamp, OMERS Ventures"
349,349,349,354,Wildlife Studios,3000000000.0,05-12-2019,Other,Sao Paulo,Brazil,South America,2011,180000000,"Benchmark, Bessemer Venture Partners"
350,350,350,355,1047 Games,2000000000.0,14-09-2021,Internet software & services,Zephyr Cove,United States,North America,2017,127000000,"VGames, Lakestar, Galaxy Interactive"
351,351,351,356,Baiwang,2000000000.0,25-03-2019,Fintech,Beijing,China,Asia,2015,224000000,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
352,352,352,357,Boba,2000000000.0,05-04-2022,Fintech,San Francisco,United States,North America,2018,45000000,"DeFi Technologies, Hypersphere Ventures, M13"
353,353,353,358,Bought By Many,2000000000.0,01-06-2021,Fintech,London,United Kingdom,Europe,2012,477000000,"Octopus Ventures, Munich Re Ventures, CommerzVentures"
354,354,354,359,Cambridge Mobile Telematics,2000000000.0,19-12-2018,Mobile & telecommunications,Cambridge,United States,North America,2010,503000000,SoftBank Group
355,355,355,360,Carzone,2000000000.0,01-03-2019,E-commerce & direct-to-consumer,Jiangsu,China,Asia,1995,946000000,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
356,356,356,361,CFGI,2000000000.0,15-09-2021,Fintech,Boston,United States,North America,2000,19000000,"The Carlyle Group, CVC Capital Partners"
357,357,357,362,Cgtz,2000000000.0,21-02-2017,Fintech,Hangzhou,China,Asia,2014,536000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
358,358,358,363,Changingedu,2000000000.0,30-10-2017,Edtech,Shanghai,China,Asia,2014,188000000,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
359,359,359,364,eDaili,2000000000.0,01-02-2019,E-commerce & direct-to-consumer,Shanghai,China,Asia,2015,101000000,"K2VC, Lightspeed China Partners, Sky9 Capital"
360,360,360,365,ENOVATE,2000000000.0,15-04-2019,Auto & transportation,Shanghai,China,Asia,2015,1000000000,Automobile Industry Guidance Fund
361,361,361,366,Fenbi Education,2000000000.0,07-02-2021,Edtech,Beijing,China,Asia,2015,390000000,"Trustbridge Partners, Hony Capital, IDG Capital"
362,362,362,367,Hesai Tech,2000000000.0,01-08-2020,Artificial intelligence,Shanghai,China,Asia,2013,717000000,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners"
363,363,363,368,Il Makiage,2000000000.0,10-01-2022,E-commerce & direct-to-consumer,New York,United States,North America,2018,29000000,"L Catterton, Franklin Templeton, First Light Capital Group"
364,364,364,369,Iluvatar CoreX,2000000000.0,01-03-2021,Hardware,Shanghai,China,Asia,2015,186000000,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
365,365,365,370,Jusfoun Big Data,2000000000.0,09-07-2018,Data management & analytics,Beijing,China,Asia,2010,137000000,"Boxin Capital, DT Capital Partners, IDG Capital"
366,366,366,371,Pagaya,2000000000.0,17-06-2020,Fintech,Tel Aviv,Israel,Asia,2015,417000000,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office"
367,367,367,372,PolicyBazaar,2000000000.0,06-05-2019,Fintech,Gurgaon,India,Asia,2008,634000000,"Info Edge, Softbank Capital"
368,368,368,373,Promasidor Holdings,2000000000.0,08-11-2016,Consumer & retail,Bryanston,South Africa,Asia,1979,556000000,"IFC, Ajinomoto"
369,369,369,374,Tubatu.com,2000000000.0,09-03-2015,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,216000000,"Sequoia Capital China, Matrix Partners China, 58.com"
370,370,370,375,Ximalaya FM,2000000000.0,22-09-2017,Mobile & telecommunications,Shanghai,China,Asia,2012,71000000,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
371,371,371,376,HEYTEA,2000000000.0,01-07-2019,Other,Shenzhen,China,Asia,2012,594000000,"Sequoia Capital China, Tencent Investment, BA Capital"
372,372,372,377,BGL Group,2000000000.0,24-11-2017,Fintech,Peterborough,United Kingdom,Europe,1992,696000000,CPP Investment Board
373,373,373,378,Claroty,2000000000.0,17-06-2021,Cybersecurity,New York,United States,North America,2015,640000000,"Bessemer Venture Partners, MoreVC, Team8"
374,374,374,379,Improbable,2000000000.0,11-05-2017,Other,London,United Kingdom,Europe,2012,754000000,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
375,375,375,380,InMobi,2000000000.0,02-12-2014,Mobile & telecommunications,Bengaluru,India,Asia,2007,221000000,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
376,376,376,381,MindMaze,2000000000.0,28-01-2016,Health,Lausanne,Switzerland,Europe,2012,340000000,Hinduja Group
377,377,377,383,Pantheon Systems,2000000000.0,13-07-2021,Internet software & services,San Francisco,United States,North America,2010,200000000,"Foundry Group, Scale Venture Partners, SoftBank Group"
378,378,378,384,SellerX,2000000000.0,09-12-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,766000000,"Cherry Ventures, Felix Capital, 83North"
379,379,379,385,AppDirect,2000000000.0,07-10-2015,E-commerce & direct-to-consumer,San Francisco,United States,North America,2009,431000000,"Mithril, iNovia Capital, Foundry Group"
380,380,380,386,BrewDog,2000000000.0,10-04-2017,Consumer & retail,Aberdeen,United Kingdom,Europe,2007,233000000,"TSG Consumer Partners, Crowdcube"
381,381,381,387,Enflame,2000000000.0,05-01-2021,Hardware,Shanghai,China,Asia,2018,472000000,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
382,382,382,388,Tradeshift,2000000000.0,30-05-2018,Fintech,San Francisco,United States,North America,2009,861000000,"Notion Capital, Scentan Ventures, Kite Ventures"
383,383,383,389,HeartFlow,2000000000.0,04-12-2017,Health,Redwood City,United States,North America,2007,568000000,"BlueCross BlueShield Venture Partners, US Venture Partners"
384,384,384,390,Extend,2000000000.0,18-05-2021,Fintech,San Francisco,United States,North America,2004,320000000,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
385,385,385,391,Airbyte,2000000000.0,17-12-2021,Internet software & services,San Francisco,United States,North America,2020,181000000,"Accel, Benchmark, SV Angel"
386,386,386,392,Andela,2000000000.0,29-09-2021,Internet software & services,New York,United States,North America,2014,381000000,"Spark Capital, Google Ventures, CRE Venture Capital"
387,387,387,393,Ascend Money,2000000000.0,27-09-2021,Fintech,Bangkok,Thailand,Asia,2013,150000000,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
388,388,388,394,Athelas,2000000000.0,31-01-2022,Health,Mountain View,United States,North America,2016,150000000,"Sequoia Capital, General Catalyst, Human Capital"
389,389,389,395,Built,2000000000.0,30-09-2021,Internet software & services,Nashville,United States,North America,2015,289000000,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
390,390,390,396,candy.com,2000000000.0,21-10-2021,Fintech,New York,United States,North America,2021,100000000,"Insight Partners, Softbank Group, Connect Ventures"
391,391,391,397,Cognite,2000000000.0,19-05-2021,Data management & analytics,Lysaker,Norway,Europe,2016,225000000,"Technology Crossover Ventures, Accel, Aker"
392,392,392,398,CoinList,2000000000.0,15-10-2021,Fintech,San Francisco,United States,North America,2017,119000000,"Accomplice, Polychain Capital, GoldenTree Asset Management"
393,393,393,399,Collective Health,2000000000.0,17-06-2019,Fintech,San Francisco,United States,North America,2013,719000000,"New Enterprise Associates, Founders Fund, Google Ventures"
394,394,394,400,Culture Amp,2000000000.0,29-07-2021,Internet software & services,Richmond,Australia,Oceania,2011,257000000,"Felicis Ventures, Index Ventures, Blackbird Ventures"
395,395,395,401,Devo,2000000000.0,26-10-2021,Data management & analytics,Cambridge,United States,North America,2011,381000000,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
396,396,396,402,ElasticRun,2000000000.0,07-02-2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2016,435000000,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures"
397,397,397,403,Gett,2000000000.0,24-05-2016,Auto & transportation,London,United Kingdom,Europe,2010,828000000,"Volkswagen, Access Industries, Vostok New Ventures"
398,398,398,404,ID.me,2000000000.0,19-03-2021,Cybersecurity,McLean,United States,North America,2010,142000000,"Moonshots Capital, BoxGroup, Blu Venture Investors"
399,399,399,405,impact.com,2000000000.0,13-07-2021,Internet software & services,Santa Barbara,United States,North America,2008,261000000,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
400,400,400,406,Ledger,2000000000.0,10-06-2021,Hardware,Paris,France,Europe,2014,466000000,"Digital Currency Group, Draper Esprit, Korelya Capital"
401,401,401,407,Lusha,2000000000.0,10-11-2021,Internet software & services,New York,United States,North America,2016,245000000,"PSG, ION Crossover Partners"
402,402,402,408,Matillion,2000000000.0,15-09-2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,310000000,"Scale Venture Partners, Sapphire Ventures, Battery Ventures"
403,403,403,409,MOLOCO,2000000000.0,29-04-2021,Artificial intelligence,Redwood City,United States,North America,2013,192000000,"Smilegate Investment, DSC Investments, KTB Ventures"
404,404,404,410,Mu Sigma,2000000000.0,07-02-2013,Data management & analytics,Northbrook,United States,North America,2004,211000000,"Sequoia Capital, General Atlantic"
405,405,405,411,Next Silicon,2000000000.0,14-06-2021,Hardware,Tel Aviv,Israel,Asia,2018,203000000,"Amiti Ventures, Playground Global, Aleph"
406,406,406,412,NotCo,2000000000.0,26-07-2021,Artificial Intelligence,Santiago,Chile,South America,2015,370000000,"Kaszek Ventures, SOSV, Tiger Global Management"
407,407,407,413,Olist,2000000000.0,15-12-2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,320000000,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund"
408,408,408,414,Pacaso,2000000000.0,24-03-2021,Fintech,Cincinnati,United States,North America,2020,217000000,"Global Founders Capital, Shea Ventures, Greycroft"
409,409,409,415,Paradox,2000000000.0,27-12-2021,Internet software & services,Scottsdale,United States,North America,2016,253000000,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
410,410,410,416,Persona,2000000000.0,15-09-2021,Cybersecurity,San Francisco,United States,North America,2018,218000000,"Coatue Management, Index Ventures, Founders Fund"
411,411,411,417,SmartRecruiters,2000000000.0,20-07-2021,Internet software & services,San Francisco,United States,North America,2010,225000000,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
412,412,412,418,Snapdocs,2000000000.0,25-05-2021,Fintech,San Francisco,United States,North America,2012,253000000,"Sequoia Capital, Y Combinator, F-Prime Capital"
413,413,413,419,Solugen,2000000000.0,10-09-2021,Other,Houston,United States,North America,2016,435000000,"Fifty Years Fund, Refactor Capital, Temasek"
414,414,414,420,StoreDot,2000000000.0,04-01-2022,Other,Herzliya,Israel,Asia,2012,190000000,"Samsung Ventures, SingulariTeam, BP Ventures"
415,415,415,421,Strava,2000000000.0,16-11-2020,Internet software & services,San Francisco,United States,North America,2009,152000000,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
416,416,416,422,Temporal,2000000000.0,16-02-2022,Internet software & services,Bellevue,United States,North America,2019,129000000,"Amplify Partners, Addition, Madrona Venture Group"
417,417,417,423,TuJia,2000000000.0,17-06-2015,Travel,Beijing,China,Asia,2011,755000000,"GGV Capital, QiMing Venture Partnersl"
418,418,418,424,Uplight,2000000000.0,03-03-2021,Other,Boulder,United States,North America,2019,2000000000,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
419,419,419,425,Veho,2000000000.0,21-12-2021,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,299000000,"General Catalyst, Origin Ventures, Fontinalis Partners"
420,420,420,426,Veriff,2000000000.0,26-01-2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,177000000,"Accel, Institutional Venture Partners, Tiger Global Management"
421,421,421,427,Whatnot,2000000000.0,16-09-2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,225000000,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
422,422,422,428,Zenoti,2000000000.0,15-12-2020,Internet software & services,Bellevue,United States,North America,2010,331000000,"Norwest Venture Partners, Accel, Tiger Global Management"
423,423,423,429,Zeta,2000000000.0,24-05-2021,Fintech,San Francisco,United States,North America,2015,340000000,"Sodexo Ventures, SoftBank Group"
424,424,424,430,Loom,2000000000.0,20-05-2021,Internet software & services,San Francisco,United States,North America,2016,204000000,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
425,425,425,431,Mobile Premier League,2000000000.0,15-09-2021,Internet software & services,Bengaluru,India,Asia,2018,376000000,"Sequoia Capital India, RTP Global, Go-Ventures"
426,426,426,432,Uala,2000000000.0,13-08-2021,Fintech,Buenos Aires,Argentina,South America,2017,544000000,"Soros Fund Management, Ribbit Capital, Monashees+"
427,427,427,433,Wenheyou,2000000000.0,17-04-2021,Other,Hunan,China,Asia,2013,90000000,"Sequoia Capital China, Warburg Pincus, IDG Capital"
428,428,428,434,Star Charge,2000000000.0,19-05-2021,Auto & transportation,Changzhou,China,Asia,2014,125000000,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
429,429,429,435,ABL Space Systems,2000000000.0,25-03-2021,Other,El Segundo,United States,North America,2017,419000000,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
430,430,430,436,Afiniti,2000000000.0,14-04-2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,120000000,GAM Holding
431,431,431,437,ASAPP,2000000000.0,19-05-2021,Artificial intelligence,New York,United States,North America,2014,380000000,"March Capital Partners, HOF Capital, Emergence Capital Partners"
432,432,432,438,BitSight Technologies,2000000000.0,13-09-2021,Cybersecurity,Boston,United States,North America,2013,401000000,"Menlo Ventures, GGV Capital, Flybridge Capital Partners"
433,433,433,439,Cao Cao Mobility,2000000000.0,17-01-2018,Auto & transportation,Hangzhou,China,Asia,2015,744000000,"People Electrical Appliance Group China, Zhongrong International Trust"
434,434,434,440,Capitolis,2000000000.0,22-03-2022,Fintech,New York,United States,North America,2017,282000000,"Sequoia Capital, Index Ventures, S Capital"
435,435,435,441,Carbon,2000000000.0,20-08-2015,Hardware,Redwood City,United States,North America,2013,682000000,"Google Ventures, Sequoia Capital, Wakefield Group"
436,436,436,442,Clio,2000000000.0,27-04-2021,Internet software & services,Burnaby,Canada,North America,2008,386000000,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures"
